ngram,prophate
allah akbar,0.87
blacks,0.583
chink,0.467
chinks,0.542
dykes,0.602
faggot,0.489
faggots,0.675
fags,0.543
homo,0.667
inbred,0.583
nigger,0.584
niggers,0.672
queers,0.5
raped,0.717
savages,0.778
slave,0.667
spic,0.75
wetback,0.667
wetbacks,0.688
whites,0.556
a dirty,0.743
a nigger,0.509
all niggers,0.859
all white,0.75
always fuck,0.556
ass white,0.542
be killed,0.571
beat him,0.575
biggest faggot,0.667
blame the,0.533
butt ugly,0.5
chink eyed,0.667
chinks in,0.556
coon shit,0.667
dumb monkey,0.667
dumb nigger,0.667
fag and,0.462
fag but,0.556
faggot a,0.667
faggot and,0.556
faggot ass,0.771
faggot bitch,0.667
faggot for,0.533
faggot smh,0.5
faggot that,0.583
faggots and,0.667
faggots like,0.901
faggots usually,0.778
faggots who,0.5
fags are,0.667
fuckin faggot,0.667
fucking faggot,0.636
fucking gay,0.5
fucking hate,0.685
fucking nigger,0.8
fucking queer,0.778
gay ass,0.481
get raped,0.788
hate all,0.556
hate faggots,0.912
hate fat,0.667
hate you,0.663
here faggot,0.571
is white,0.667
jungle bunny,0.667
kill all,0.667
kill yourself,0.667
little faggot,0.667
many niggers,0.708
married to,0.533
me faggot,0.5
my coon,0.6
nigga ask,0.556
niggas like,0.556
nigger ass,0.667
nigger is,0.6
nigger music,0.75
niggers are,0.633
of fags,0.69
of white,0.588
raped and,0.556
raped by,0.763
sand nigger,0.667
savages that,0.667
shorty bitch,0.583
spear chucker,0.667
spic cop,0.778
stupid nigger,0.667
that fag,0.5
that faggot,0.542
that nigger,0.6
the faggots,0.667
the female,0.642
the niggers,0.778
their heads,0.6
them white,0.5
then faggot,0.5
this nigger,0.889
to rape,0.667
trailer park,0.5
trash with,0.667
u fuckin,0.5
ugly dyke,0.667
up nigger,0.77
white ass,0.556
white boy,0.556
white person,0.583
white trash,0.507
with niggas,0.5
you fag,0.611
you nigger,0.827
you niggers,0.755
your faggot,0.667
your nigger,0.556
a bitch made,0.533
a fag and,0.6
a fag but,0.556
a faggot and,0.583
a faggot for,0.583
a fucking queer,0.778
a nigga ask,0.556
a white person,0.778
a white trash,0.6
all these fucking,0.667
are all white,0.75
be killed for,0.571
bitch made nigga,0.533
faggots like you,0.905
faggots usually have,0.778
fuck outta here,0.778
fuck u talking,0.667
fuck you too,0.556
fucking hate you,0.725
full of white,0.792
him a nigga,0.556
his shorty bitch,0.667
how many niggers,0.75
is a fag,0.75
is a faggot,0.476
is a fuckin,0.667
is a fucking,0.799
is a nigger,0.556
like a faggot,0.632
like da colored,0.556
many niggers are,0.714
nigga and his,0.556
niggers are in,0.714
of white trash,0.6
shut up nigger,0.785
still a faggot,0.583
the biggest faggot,0.556
the faggots who,0.556
the fuck do,0.556
they all look,0.778
what a fag,0.556
white bitch in,0.556
white trash and,0.667
you a fag,0.778
you a lame,0.467
you a nigger,0.467
you fuck wit,0.556
you fucking faggot,0.583
your a cunt,0.667
your a dirty,0.87
your bitch in,0.467
a bitch made nigga,0.533
a lame nigga you,0.556
faggot if you ever,0.467
full of white trash,0.867
how many niggers are,0.75
is full of white,0.792
lame nigga you a,0.556
many niggers are in,0.714
nigga you a lame,0.556
niggers are in my,0.714
wit a lame nigga,0.556
you a lame bitch,0.556
you fuck wit a,0.556
